case,split,digit,whole,zeros,layer,control,source_margin,target_margin,patched_margin,margin_effect,target_correct,patched_correct,model,revision
0,discovery,1,34,3,0,answer_position,1.5,-0.75,-0.75,0.0,False,False,meta-llama/Meta-Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
0,discovery,1,34,3,0,number_tokens,1.5,-0.75,-0.875,-0.125,False,False,meta-llama/Meta-Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
0,discovery,1,34,3,0,random_positions,1.5,-0.75,-0.75,0.0,False,False,meta-llama/Meta-Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
0,discovery,1,34,3,1,answer_position,1.5,-0.75,-0.875,-0.125,False,False,meta-llama/Meta-Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
0,discovery,1,34,3,1,number_tokens,1.5,-0.75,-1.25,-0.5,False,False,meta-llama/Meta-Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
0,discovery,1,34,3,1,random_positions,1.5,-0.75,-0.625,0.125,False,False,meta-llama/Meta-Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
0,discovery,1,34,3,2,answer_position,1.5,-0.75,-0.75,0.0,False,False,meta-llama/Meta-Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
0,discovery,1,34,3,2,number_tokens,1.5,-0.75,-5.5,-4.75,False,False,meta-llama/Meta-Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
0,discovery,1,34,3,2,random_positions,1.5,-0.75,-0.75,0.0,False,False,meta-llama/Meta-Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
0,discovery,1,34,3,3,answer_position,1.5,-0.75,-0.875,-0.125,False,False,meta-llama/Meta-Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
0,discovery,1,34,3,3,number_tokens,1.5,-0.75,-4.875,-4.125,False,False,meta-llama/Meta-Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
0,discovery,1,34,3,3,random_positions,1.5,-0.75,-0.625,0.125,False,False,meta-llama/Meta-Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
0,discovery,1,34,3,4,answer_position,1.5,-0.75,-0.75,0.0,False,False,meta-llama/Meta-Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
0,discovery,1,34,3,4,number_tokens,1.5,-0.75,-4.25,-3.5,False,False,meta-llama/Meta-Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
0,discovery,1,34,3,4,random_positions,1.5,-0.75,-0.625,0.125,False,False,meta-llama/Meta-Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
0,discovery,1,34,3,5,answer_position,1.5,-0.75,-0.75,0.0,False,False,meta-llama/Meta-Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
0,discovery,1,34,3,5,number_tokens,1.5,-0.75,-5.125,-4.375,False,False,meta-llama/Meta-Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
0,discovery,1,34,3,5,random_positions,1.5,-0.75,-0.5,0.25,False,False,meta-llama/Meta-Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
